operation,timestamp_us,latency_us
COMMIT,1715137931859208,1006533
COMMIT,1715137932869383,1004304
COMMIT,1715137933874152,1003809
COMMIT,1715137934880305,1004122
COMMIT,1715137935885679,1004709
COMMIT,1715137936891451,1004687
COMMIT,1715137937897259,1004873
COMMIT,1715137938902557,1004147
COMMIT,1715137939907121,1005024
COMMIT,1715137940912386,1004748
COMMIT,1715137941917721,1004257
COMMIT,1715137942922418,1002294
COMMIT,1715137943926015,1002290
COMMIT,1715137944929351,1004538
COMMIT,1715137945934315,1003530
COMMIT,1715137946938141,1004886
COMMIT,1715137947943701,1003821
COMMIT,1715137948947820,1004166
COMMIT,1715137949954039,1004255
COMMIT,1715137950960889,1003946
COMMIT,1715137951967151,1007367
COMMIT,1715137952975809,1004710
COMMIT,1715137953982985,1004112
COMMIT,1715137954992698,1003833
COMMIT,1715137956002710,1004356
COMMIT,1715137957007363,1004471
COMMIT,1715137958012954,1003659
COMMIT,1715137959016903,1004045
COMMIT,1715137960021249,1003879
COMMIT,1715137961025416,1003994
COMMIT,1715137962032458,1004097
COMMIT,1715137963036927,1004284
COMMIT,1715137964041669,1004564
COMMIT,1715137965047345,1004200
COMMIT,1715137966052906,1004205
COMMIT,1715137967060557,1004375
COMMIT,1715137968065418,1004175
COMMIT,1715137969071098,1004053
COMMIT,1715137970075435,1006052
COMMIT,1715137971082740,1003124
COMMIT,1715137972086091,1003458
COMMIT,1715137973089855,1004597
COMMIT,1715137974096902,1004014
COMMIT,1715137975101193,1004630
COMMIT,1715137976107426,1003706
COMMIT,1715137977113745,1004485
COMMIT,1715137978118713,1004012
COMMIT,1715137979126094,1004220
COMMIT,1715137980130751,1005681
COMMIT,1715137981136764,1004390
COMMIT,1715137982143595,1003848
COMMIT,1715137983148728,1002094
COMMIT,1715137984153603,1004175
COMMIT,1715137985158070,1004148
COMMIT,1715137986163228,1004068
COMMIT,1715137987168608,1005557
COMMIT,1715137988174484,1004166
COMMIT,1715137989182403,1004261
COMMIT,1715137990188927,1004120
COMMIT,1715137991193508,1004215
COMMIT,1715137992199913,1003539
COMMIT,1715137993204665,1003547
COMMIT,1715137994208464,1004043
COMMIT,1715137995212916,1004496
COMMIT,1715137996217838,1003369
COMMIT,1715137997223498,1003556
COMMIT,1715137998227357,1004143
COMMIT,1715137999233179,1003916
COMMIT,1715138000239268,1003504
COMMIT,1715138001245342,1008934
COMMIT,1715138002254832,1003772
COMMIT,1715138003260821,1003691
COMMIT,1715138004268304,1004598
COMMIT,1715138005273214,1003869
COMMIT,1715138006278171,1003592
COMMIT,1715138007282109,1004002
COMMIT,1715138008288657,1003393
COMMIT,1715138009292424,1003966
COMMIT,1715138010296815,1004860
COMMIT,1715138011302090,1003966
COMMIT,1715138012306340,1003228
COMMIT,1715138013316865,1003326
COMMIT,1715138014320468,1003247
COMMIT,1715138015328486,1002871
COMMIT,1715138016331549,1003637
COMMIT,1715138017335531,1004479
COMMIT,1715138018343951,1003345
COMMIT,1715138019347606,1005591
COMMIT,1715138020354754,1004029
COMMIT,1715138021364301,1004004
COMMIT,1715138022370749,1004161
COMMIT,1715138023377920,1003969
COMMIT,1715138024387641,1022767
COMMIT,1715138025410904,1004407
COMMIT,1715138026419450,1004018
COMMIT,1715138027423763,1004347
COMMIT,1715138028428403,1004278
COMMIT,1715138029433093,1003820
COMMIT,1715138030437211,1002209
COMMIT,1715138031439592,1004336
COMMIT,1715138032444360,1003992
COMMIT,1715138033448639,1003912
COMMIT,1715138034452837,1004486
COMMIT,1715138035462551,1004200
COMMIT,1715138036469166,1004052
COMMIT,1715138037473548,1003937
COMMIT,1715138038477784,1005244
COMMIT,1715138039486005,1004144
COMMIT,1715138040490636,1003056
COMMIT,1715138041494022,1003751
COMMIT,1715138042500891,1003748
COMMIT,1715138043506571,1003999
COMMIT,1715138044510876,1004222
COMMIT,1715138045516742,1004059
COMMIT,1715138046524964,1004848
COMMIT,1715138047531504,1003919
COMMIT,1715138048535709,1003906
COMMIT,1715138049543029,1004132
COMMIT,1715138050551507,1004952
COMMIT,1715138051556738,1005341
COMMIT,1715138052563855,1003753
COMMIT,1715138053568852,1002394
COMMIT,1715138054571411,1004888
COMMIT,1715138055577583,1003748
COMMIT,1715138056581641,1003372
COMMIT,1715138057585294,1004625
COMMIT,1715138058590396,1004154
COMMIT,1715138059596103,1003986
COMMIT,1715138060600591,1004175
COMMIT,1715138061605906,1003827
COMMIT,1715138062610669,1003817
COMMIT,1715138063617737,1003221
COMMIT,1715138064621314,1003878
COMMIT,1715138065625491,1004366
COMMIT,1715138066630281,1004145
COMMIT,1715138067634869,1004260
COMMIT,1715138068639551,1004568
COMMIT,1715138069644549,1003809
COMMIT,1715138070648650,1004083
COMMIT,1715138071654510,1004345
COMMIT,1715138072659160,1004008
COMMIT,1715138073663505,1003427
COMMIT,1715138074667200,1002926
COMMIT,1715138075671347,1003683
COMMIT,1715138076675313,1004128
COMMIT,1715138077681193,1004109
COMMIT,1715138078688898,1002918
COMMIT,1715138079692193,1004048
COMMIT,1715138080697922,1003680
COMMIT,1715138081705451,1003021
COMMIT,1715138082708676,1003766
COMMIT,1715138083714487,1004463
COMMIT,1715138084720171,1004057
COMMIT,1715138085726229,1004044
COMMIT,1715138086731333,1004348
COMMIT,1715138087736174,1003888
COMMIT,1715138088743205,1002609
COMMIT,1715138089746006,1003813
COMMIT,1715138090750153,1004381
COMMIT,1715138091754976,1003942
COMMIT,1715138092759234,1004249
COMMIT,1715138093765974,1002469
COMMIT,1715138094768720,1004050
COMMIT,1715138095774459,1004249
COMMIT,1715138096780098,1004260
COMMIT,1715138097788224,1004707
COMMIT,1715138098793404,1001774
COMMIT,1715138099797628,1004622
COMMIT,1715138100804605,1004110
COMMIT,1715138101812105,1004494
COMMIT,1715138102817034,1004451
COMMIT,1715138103821919,1002447
COMMIT,1715138104826322,1003795
COMMIT,1715138105836501,1004223
COMMIT,1715138106841162,1004055
COMMIT,1715138107846301,1004410
COMMIT,1715138108851225,1003037
COMMIT,1715138109854421,1003750
COMMIT,1715138110858473,1004006
COMMIT,1715138111863692,1003757
COMMIT,1715138112867765,1004182
COMMIT,1715138113875444,1002381
COMMIT,1715138114878546,1003673
COMMIT,1715138115883267,1003787
COMMIT,1715138116889521,1003712
COMMIT,1715138117893661,1006998
COMMIT,1715138118900940,1002512
COMMIT,1715138119904343,1003890
COMMIT,1715138120908757,1004037
COMMIT,1715138121913493,1004218
COMMIT,1715138122918145,1003826
COMMIT,1715138123926966,1003554
COMMIT,1715138124933556,1003621
COMMIT,1715138125940261,1005917
COMMIT,1715138126946528,1004313
COMMIT,1715138127951146,1005416
COMMIT,1715138128957065,1002844
COMMIT,1715138129960158,1004211
COMMIT,1715138130964790,1007928
COMMIT,1715138131973125,1004490
COMMIT,1715138132978043,1004354
COMMIT,1715138133982830,1003833
COMMIT,1715138134989283,1004726
COMMIT,1715138135994512,1004722
COMMIT,1715138137001055,1005039
COMMIT,1715138138006577,1004903
COMMIT,1715138139011925,1006004
COMMIT,1715138140018438,1005441
COMMIT,1715138141024336,1004299
COMMIT,1715138142028922,1003310
COMMIT,1715138143032506,1004405
COMMIT,1715138144041941,1004338
COMMIT,1715138145046576,1003828
COMMIT,1715138146050668,1002685
COMMIT,1715138147053578,1003923
COMMIT,1715138148059388,1003384
COMMIT,1715138149065868,1003445
COMMIT,1715138150069669,1003633
COMMIT,1715138151074822,1008947
COMMIT,1715138152083989,1004067
COMMIT,1715138153094356,1004274
COMMIT,1715138154102146,1003709
COMMIT,1715138155107045,1002931
COMMIT,1715138156110292,1002878
COMMIT,1715138157113427,1002747
COMMIT,1715138158119066,1002461
COMMIT,1715138159121712,1003131
COMMIT,1715138160125083,1002908
COMMIT,1715138161128962,1007260
COMMIT,1715138162136966,1002768
COMMIT,1715138163140631,1002293
COMMIT,1715138164143147,1002876
COMMIT,1715138165146286,1002959
COMMIT,1715138166149599,1002957
COMMIT,1715138167153598,1002812
COMMIT,1715138168162395,1002488
COMMIT,1715138169165875,1002736
COMMIT,1715138170169627,1003454
COMMIT,1715138171173700,1001965
COMMIT,1715138172175831,1002259
COMMIT,1715138173178265,1002996
COMMIT,1715138174182787,1002892
COMMIT,1715138175185881,1002940
COMMIT,1715138176190256,1008768
COMMIT,1715138177200889,1003821
COMMIT,1715138178207425,1005053
COMMIT,1715138179213891,1002985
COMMIT,1715138180219806,1003009
COMMIT,1715138181224315,1002150
COMMIT,1715138182226757,1005364
COMMIT,1715138183232404,1002114
COMMIT,1715138184235767,1003632
COMMIT,1715138185240415,1003080
COMMIT,1715138186243801,1002827
COMMIT,1715138187248392,1002292
COMMIT,1715138188250874,1002696
COMMIT,1715138189255801,1002581
COMMIT,1715138190259688,1005184
COMMIT,1715138191267125,1004913
COMMIT,1715138192272649,1004726
COMMIT,1715138193279581,1002297
COMMIT,1715138194286496,1004165
COMMIT,1715138195296024,1004301
COMMIT,1715138196300835,1003410
COMMIT,1715138197306296,1005363
COMMIT,1715138198313247,1002770
COMMIT,1715138199316278,1003374
COMMIT,1715138200319959,1002943
COMMIT,1715138201329082,1003427
COMMIT,1715138202332900,1002439
COMMIT,1715138203335576,1003160
COMMIT,1715138204338993,1002598
COMMIT,1715138205342952,1002514
COMMIT,1715138206345662,1002902
COMMIT,1715138207350022,1003243
COMMIT,1715138208357035,1003725
COMMIT,1715138209361128,1003563
COMMIT,1715138210365368,1002756
COMMIT,1715138211368878,1004783
COMMIT,1715138212374332,1003200
COMMIT,1715138213379158,1002679
COMMIT,1715138214382026,1003086
COMMIT,1715138215386069,1005944
COMMIT,1715138216405261,1006055
COMMIT,1715138217411580,1003317
COMMIT,1715138218415939,1007252
COMMIT,1715138219424586,1008576
